City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Edinburgh of the Seven Seas,-37.0676,-12.3116,59.79,79,100,32.39,SH,1687724200
1,Adamstown,-25.066,-130.1015,72.64,80,53,16.71,PN,1687724202
2,Albany,42.6001,-73.9662,88.88,62,24,1.01,US,1687724159
3,Vorgashor,67.5833,63.95,50.0,69,87,5.23,RU,1687724204
4,Bredasdorp,-34.5322,20.0403,54.52,94,100,11.16,ZA,1687724205
5,Timimoun,29.2639,0.231,98.98,7,0,17.27,DZ,1687724207
6,Hammerfest,70.6634,23.6821,48.65,81,40,8.05,NO,1687724208
7,Cromer,52.9312,1.2989,77.0,59,20,20.0,GB,1687724209
8,Berdigestyakh,62.0989,126.6992,67.1,75,7,1.97,RU,1687724210
9,Mozarlândia,-14.7447,-50.5706,87.91,24,100,2.01,BR,1687723942
10,Iskateley,67.6803,53.1512,48.7,79,79,9.48,RU,1687724212
11,Bethel,41.3712,-73.414,84.04,67,0,10.36,US,1687724214
12,Nova Xavantina,-14.6667,-52.35,84.94,30,100,4.05,BR,1687724215
13,Ancud,-41.8697,-73.8203,50.43,85,45,25.88,CL,1687724216
14,Zag,46.9441,99.165,48.65,39,8,0.25,MN,1687724217
15,Badger,64.8,-147.5333,74.52,50,75,4.61,US,1687724219
16,Invercargill,-46.4,168.35,46.74,96,100,5.48,NZ,1687724220
17,Ushuaia,-54.8,-68.3,35.26,80,100,2.3,AR,1687724117
18,West Island,-12.1568,96.8225,78.78,78,40,8.05,CC,1687724222
19,Grytviken,-54.2811,-36.5092,29.79,83,57,15.9,GS,1687724224
20,Port-aux-Français,-49.35,70.2167,34.79,93,100,32.41,TF,1687724225
21,Isafjordur,66.0755,-23.124,54.5,84,79,12.21,IS,1687724227
22,Akjoujt,19.6969,-14.4164,98.28,13,5,12.53,MR,1687724228
23,Papatowai,-46.5619,169.4708,48.13,91,100,3.38,NZ,1687724229
24,Puerto Natales,-51.7236,-72.4875,30.65,100,100,4.61,CL,1687724230
25,Al Qābil,22.571,58.6947,82.26,70,29,4.52,OM,1687724232
26,Koppies,-27.2418,27.5742,53.2,32,0,6.51,ZA,1687724234
27,Birjand,32.8663,59.2211,75.67,22,40,18.41,IR,1687724236
28,Vavuniya,8.7514,80.4971,78.4,80,100,9.89,LK,1687724237
29,Roses,42.262,3.1769,82.58,51,0,4.0,ES,1687724239
30,Vernon,50.2581,-119.2691,79.75,42,15,4.61,CA,1687724241
31,Libreville,0.3925,9.4537,76.15,76,11,6.4,GA,1687724242
32,Lorengau,-2.0226,147.2712,81.28,80,93,10.83,PG,1687724243
33,Petropavlovsk-Kamchatskiy,53.0452,158.6483,55.99,82,0,6.71,RU,1687724244
34,Linxia Chengguanzhen,35.6003,103.2064,54.32,75,0,4.23,CN,1687724245
35,Tazovsky,67.4667,78.7,42.53,77,3,0.54,RU,1687724247
36,Keflavik,64.0049,-22.5624,46.83,87,100,8.05,IS,1687724248
37,Fale old settlement,-9.3852,-171.2468,83.88,70,54,12.03,TK,1687724250
38,Tura,25.5198,90.2201,75.49,92,40,5.93,IN,1687723808
39,Bilibino,68.0546,166.4372,60.87,61,72,3.11,RU,1687724252
40,Lavaca,28.615,-96.6261,100.31,64,40,13.8,US,1687724254
41,Berezovyy,51.6667,135.7,62.13,81,63,1.97,RU,1687724255
42,Saipan,15.1355,145.701,83.1,100,40,13.8,MP,1687724152
43,Talara,-4.5772,-81.2719,84.96,58,0,13.8,PE,1687724258
44,Nikolayevsk-on-Amur,53.1406,140.73,60.71,97,97,2.44,RU,1687724260
45,Hojāi,26.0,92.8667,78.6,93,91,3.13,IN,1687724261
46,Blackmans Bay,-43.0167,147.3167,42.93,92,16,7.0,AU,1687724262
47,Praia da Vitória,38.7333,-27.0667,71.85,78,40,0.11,PT,1687724264
48,Aasiaat,68.7098,-52.8699,37.18,81,27,5.7,GL,1687724265
49,Shimoda,34.6667,138.95,71.1,82,100,2.75,JP,1687724266
50,Port Saint John's,-31.6229,29.5448,65.35,85,89,6.85,ZA,1687724267
51,Port Mathurin,-19.6833,63.4167,72.68,65,0,11.03,MU,1687724268
52,Anadyr,64.75,177.4833,57.7,62,0,4.47,RU,1687724269
53,Atafu Village,-8.5421,-172.5159,84.18,71,10,13.38,TK,1687724271
54,Pakość,52.8018,18.0853,71.35,62,89,5.17,PL,1687724272
55,Ergani,38.2653,39.7621,79.57,26,0,4.52,TR,1687724274
56,Laikit,1.4792,124.9735,70.65,100,40,1.14,ID,1687724276
57,Sijunjung,-0.6876,100.9537,71.98,99,100,1.28,ID,1687724277
58,Avarua,-21.2078,-159.775,78.85,94,0,5.75,CK,1687724009
59,Ust-Nera,64.5667,143.2,78.46,37,64,2.95,RU,1687724279
60,Thompson,55.7435,-97.8558,53.76,76,75,9.22,CA,1687724280
61,Whakatane,-37.9585,176.9854,50.5,91,22,5.82,NZ,1687724281
62,Afaahiti,-17.75,-149.2833,82.27,81,0,17.0,PF,1687724283
63,Necochea,-38.5473,-58.7368,54.64,59,100,6.31,AR,1687724237
64,Springs,-26.25,28.4,53.67,33,0,4.54,ZA,1687724286
65,Dzhalagash,45.0833,64.6667,71.73,25,9,5.06,KZ,1687724287
66,Udachny,66.4167,112.4,55.45,66,99,9.57,RU,1687724288
67,Quellón,-43.1167,-73.6167,48.45,93,75,10.36,CL,1687724289
68,Machico,32.7,-16.7667,75.83,75,40,20.71,PT,1687724290
69,Valdez,1.2492,-78.9831,80.76,80,100,11.9,EC,1687724292
70,Ribeira Grande,38.5167,-28.7,70.2,83,75,4.61,PT,1687724293
71,Brisas de Zicatela,15.8369,-97.0419,90.12,55,100,14.97,MX,1687724294
72,Chegutu,-18.1302,30.1407,54.19,37,0,5.82,ZW,1687724296
73,Babayevo,59.3936,35.9371,56.59,72,30,3.02,RU,1687724297
74,Yellowknife,62.456,-114.3525,61.32,44,20,16.11,CA,1687724298
75,Yelizovo,53.1873,158.3805,57.34,82,0,7.0,RU,1687724300
76,Stanley,54.868,-1.6985,60.71,92,20,3.44,GB,1687724301
77,San Felipe,10.3399,-68.7425,92.03,44,100,4.5,VE,1687724302
78,Maxixe,-23.8597,35.3472,62.69,85,0,4.76,MZ,1687723972
79,Whangarei,-35.7317,174.3239,55.06,96,90,0.94,NZ,1687724304
80,Dawson Creek,55.7666,-120.2362,69.44,64,20,5.75,CA,1687724046
81,Castillos,-34.1667,-53.8333,57.58,84,40,5.61,UY,1687724307
82,Wailua Homesteads,22.0669,-159.378,81.39,74,100,20.71,US,1687724308
83,Lebu,-37.6167,-73.65,55.24,87,11,16.22,CL,1687724175
84,Peace River,56.2501,-117.286,61.11,82,100,5.75,CA,1687724311
85,Gadzhiyevo,69.2551,33.3362,47.89,95,79,12.46,RU,1687724312
86,Waitangi,-43.9535,-176.5597,51.82,90,100,7.0,NZ,1687724313
87,Selfoss,63.9331,-20.9971,45.05,92,100,9.95,IS,1687724314
88,Klaksvík,62.2266,-6.589,54.52,96,100,7.65,FO,1687724315
89,Margaret River,-33.95,115.0667,45.7,85,71,8.77,AU,1687724317
90,Mogocha,53.7333,119.7667,51.48,97,99,1.92,RU,1687724318
91,Atherton,53.5237,-2.4935,64.54,88,50,1.01,GB,1687724319
92,Xilin Hot,43.9667,116.0333,70.14,47,100,9.15,CN,1687724321
93,Tiksi,71.6872,128.8694,44.11,73,22,8.3,RU,1687724322
94,Tommot,58.9564,126.2925,60.8,88,100,2.93,RU,1687724323
95,Port Elizabeth,-33.918,25.5701,57.49,99,100,6.91,ZA,1687724324
96,Songjiang,31.036,121.2146,80.06,91,100,5.37,CN,1687724326
97,New Norfolk,-42.7826,147.0587,44.1,96,7,3.62,AU,1687724327
98,Utrik,11.2278,169.8474,82.49,76,82,19.3,MH,1687724328
99,Hermanus,-34.4187,19.2345,53.8,90,99,14.0,ZA,1687724329
100,Qaqortoq,60.7167,-46.0333,41.04,76,0,8.84,GL,1687724331
101,Port Alfred,-33.5906,26.891,58.17,94,100,5.99,ZA,1687724332
102,Ashland,40.8167,-82.2665,84.97,59,100,14.29,US,1687724209
103,Ilulissat,69.2167,-51.1,42.82,70,74,6.91,GL,1687724335
104,Port Macquarie,-31.4333,152.9167,49.24,58,11,7.02,AU,1687724336
105,Lázaro Cárdenas,17.9583,-102.2,87.93,61,80,11.43,MX,1687724112
106,Ugoofaaru,5.6667,73.0,81.79,75,100,11.59,MV,1687724338
107,La Passe,45.5549,-0.8967,71.83,88,0,12.15,FR,1687724339
108,Ujae,8.9322,165.7642,82.69,80,56,17.4,MH,1687724340
109,Manatí,18.4275,-66.4921,87.28,79,90,15.35,PR,1687724342
110,Tsiombe,-25.3,45.4833,59.14,71,2,1.79,MG,1687724345
111,Philadelphia,39.9523,-75.1638,88.0,63,75,13.8,US,1687724176
112,Rémire-Montjoly,4.9167,-52.2667,82.44,74,20,6.91,GF,1687724347
113,Arnö,60.1167,18.6333,58.78,83,0,3.0,SE,1687724348
114,Summerside,46.3959,-63.7876,68.68,94,100,13.8,CA,1687724349
115,Cockburn Town,21.4612,-71.1419,83.28,75,95,17.16,TC,1687724350
116,Guerrero Negro,27.9769,-114.0611,73.11,56,6,20.13,MX,1687724351
117,Tromsø,69.6496,18.957,51.82,82,75,3.44,NO,1687724353
118,Zaragoza,41.6561,-0.8773,92.8,30,20,6.91,ES,1687724354
119,Beryozovo,63.9381,65.0419,45.39,64,94,4.45,RU,1687724356
120,Bubaque,11.2833,-15.8333,81.39,79,94,10.04,GW,1687724357
121,Abingdon,51.6711,-1.2828,68.27,62,20,13.8,GB,1687724358
122,Florø,61.5996,5.0328,72.23,82,0,5.75,NO,1687724360
123,Arhribs,36.7936,4.3116,67.87,68,0,3.11,DZ,1687724361
124,Olonkinbyen,70.9221,-8.7187,42.55,98,89,10.83,SJ,1687724362
125,Hasaki,35.7333,140.8333,72.21,91,43,3.76,JP,1687724200
126,Iqaluit,63.7506,-68.5145,49.73,61,75,17.27,CA,1687724364
127,Dudinka,69.4058,86.1778,51.62,62,86,6.53,RU,1687724366
128,Ålesund,62.4723,6.1549,66.99,82,0,3.44,NO,1687724367
129,Lagoa,39.05,-27.9833,69.87,72,100,3.91,PT,1687724369
130,Haiku-Pauwela,20.9219,-156.3051,82.42,45,20,21.85,US,1687724370
131,College,64.8569,-147.8028,74.59,50,75,4.61,US,1687724371
132,Talcahuano,-36.7167,-73.1167,58.68,94,75,13.8,CL,1687724372
133,Hawaiian Paradise Park,19.5933,-154.9731,81.03,71,75,12.66,US,1687724373
134,Camabatela,-8.1881,15.375,62.76,57,19,1.77,AO,1687724374
135,Hamilton,39.1834,-84.5333,88.88,58,40,17.27,US,1687724116
136,Chernyshevskiy,63.0128,112.4714,58.53,58,100,6.76,RU,1687724377
137,Lihue,21.9789,-159.3672,81.99,66,100,20.71,US,1687724378
138,Fort-Shevchenko,44.5086,50.263,74.73,75,22,14.34,KZ,1687724380
139,Vilyuchinsk,52.9306,158.4028,57.47,78,23,0.87,RU,1687724381
140,Mata-Utu,-13.2816,-176.1745,81.27,69,7,7.76,WF,1687724382
141,Zhympīty,50.2536,52.595,57.72,70,0,11.5,KZ,1687724383
142,Kavaratti,10.5669,72.642,83.93,75,100,18.72,IN,1687724384
143,Puerto Ayora,-0.7393,-90.3518,79.56,87,92,7.0,EC,1687724386
144,Nagato,34.3833,131.2,71.62,95,100,7.96,JP,1687724387
